phase_id,phase_name_grouped
QUARTZ_1_AFSIS,Quartz
QUARTZ_2_AFSIS,Quartz
QUARTZ_3_AFSIS,Quartz
QUARTZ_4_AFSIS,Quartz
K_FELDSPAR_AFSIS,K-feldspar
ORTHOCLASE_AFSIS,K-feldspar
ALBITE_AFSIS,Plagioclase
LABRADORITE_AFSIS,Plagioclase
ACTINOLITE_1_AFSIS,Amphibole
ACTINOLITE_2_AFSIS,Amphibole
HORNBLENDE_1_AFSIS,Amphibole
HORNBLENDE_2_AFSIS,Amphibole
TREMOLITE_1_AFSIS,Amphibole
TREMOLITE_2_AFSIS,Amphibole
GIBBSITE_AFSIS,Gibbsite
GOETHITE_AFSIS,Fe/Ti-(hydr)oxide
ANATASE_AFSIS,Fe/Ti-(hydr)oxide
RED_SOIL_KAOLIN_AFSIS,Kaolin
BLACK_SOIL_SMECTITE_AFSIS,Expandable/ML Dioct.
MUSCOVITE_AFSIS,Illitic/Micaceous Dioct.
ORGANIC_AFSIS,Amorphous-O
