SSN,Sentinel_site,Latitude,Longitude,xrpd_cluster,xrpd_cluster_subset,pH,TOC,K,Ca,Mn,Fe,Ni,Cu,Zn,m3.B,m3.Mg,m3.K,m3.Ca,m3.Mn,m3.Fe,m3.Cu,m3.Zn
icr005929,Chinyanghuku,-6.93070316,36.09182358,6,FALSE,6.907,2632.35499,13316.06067,16704.94567,266.0906667,18705.91433,19.51033333,9.534,20.964,0.2954,307.6,146.9,629.8,114.5,92.18,1.317,2.058
icr005947,Chinyanghuku,-6.90836716,36.08665466,7,FALSE,6.873,2334.95613,10694.13433,15577.16767,161.2903333,13340.99867,9.620333333,5.337666667,19.559,0.1328,315.6,58.59,661.7,35.34,72.55,0.7326,1.795
icr005966,Chinyanghuku,-6.88353014,36.0907402,7,FALSE,7.401,7318.70254,12892.174,23234.494,379.6896667,26269.628,13.775,11.77733333,29.43233333,0.5955,375.8,167.7,1985,166.1,123.4,1.866,1.484
icr005986,Chinyanghuku,-6.86680222,36.09944916,8,FALSE,7.896,7922.60329,16818.009,31939.58667,332.4866667,22939.10267,52.34933333,24.91666667,34.44766667,1.165,396.8,166.4,11368,130,39.04,3.834,2.081
icr005999,Chinyanghuku,-6.93858,36.1244,8,FALSE,6.959,4083.63283,18143.16733,27014.16333,438.295,28744.518,12.54366667,14.29133333,38.218,0.2145,431.1,159.4,1014,85.84,148.2,1.369,2.303
icr006016,Chinyanghuku,-6.91083193,36.11650848,4,FALSE,6.929,3247.88928,18912.70533,13511.99767,411.2913333,23566.5,10.273,13.78466667,28.42266667,0.5616,356.7,141.6,935,210.9,125.4,2.003,2.028
icr006036,Chinyanghuku,-6.88956308,36.12222672,4,FALSE,6.379,2007.10878,22432.859,14900.653,323.964,20067.88967,7.868333333,8.457666667,21.471,0.2959,281.7,224.3,731.1,115.7,117.1,1.006,1.617
icr006056,Chinyanghuku,-6.86175203,36.11831284,5,FALSE,7.039,5322.30417,24540.73333,12111.36,383.7343333,25806.512,51.65466667,14.50533333,32.94266667,0.352,574.6,198.8,2125,189,142.2,1.975,1.791
icr006077,Chinyanghuku,-6.93122,36.1357,7,FALSE,7.465,8798.08823,24575.27633,23092.76967,523.2553333,32121.72533,6.715,16.754,54.653,0.7309,371,197.1,2203,133.1,191,1.694,3.102
icr006086,Chinyanghuku,-6.90524,36.1372,7,FALSE,7.092,9995.55469,23006.92967,20588.22467,416.9543333,20746.393,6.109666667,11.194,30.73566667,0.602,289.4,204,1161,148,125.7,1.338,3.463
icr006102,Chinyanghuku,-6.88657,36.1374,7,FALSE,8.064,4527.56842,21523.94333,19729.12833,381.1523333,27429.34867,9.577,11.593,28.28966667,0.5053,344.3,183.4,3949,125.6,58.68,1.427,2.83
icr006122,Chinyanghuku,-6.86209822,36.14105606,5,FALSE,6.646,2710.31136,15405.62467,13097.66467,209.5736667,15682.734,5.094666667,5.885,20.09633333,0.281,275.8,135.7,496.5,76.33,89.03,0.6692,3.526
icr006143,Chinyanghuku,-6.92808008,36.16547012,7,FALSE,7.024,11258.00888,17006.484,18929.94133,409.2743333,21157.57833,15.521,11.03966667,33.04333333,0.5619,202.8,251.8,1042,64.35,121,1.196,1.707
icr006153,Chinyanghuku,-6.90498781,36.16339493,5,FALSE,5.087,4425.76677,18179.08667,18331.48567,297.2806667,21892.375,7.688333333,10.20833333,31.84333333,0.1197,139.7,185.3,193.4,11.72,156.2,0.6026,1.651
icr006165,Chinyanghuku,-6.88443995,36.16698837,7,FALSE,7.126,10188.07054,15622.416,28722.74967,480.3853333,28173.16267,6.741666667,8.962333333,41.246,0.5363,343,237.7,1288,65.51,146.7,0.9556,2.828
icr006180,Chinyanghuku,-6.87134,36.1579,9,FALSE,6.912,14615.91323,25270.775,34935.00033,747.3346667,39244.09567,102.9056667,23.509,46.33933333,0.6479,570.3,281.1,1159,87.33,150.4,1.33,4.276
icr006455,Pandambili,-6.12600994,36.44020081,4,FALSE,8.175,7888.49115,20421.40333,9015.519667,256.555,15915.41533,25.08533333,12.366,26.60066667,2.478,552.9,1355,4679,130.1,54.5,2.375,1.285
icr006475,Pandambili,-6.08874989,36.43598175,2,TRUE,4.682,4298.12849,12991.31067,944.1006667,81.91233333,12501.28067,14.63266667,13.009,22.027,0.3337,89.5,306.3,207.1,9.266,153.7,1.315,2.825
icr006493,Pandambili,-6.06394,36.4405,2,FALSE,6.087,5647.16776,20828.767,6770.217333,199.07,17698.96933,23.253,16.864,23.30633333,0.7579,239,339.6,804.5,87.07,83.66,1.694,1.365
icr006511,Pandambili,-6.04692984,36.4438591,1,TRUE,5.138,4287.52204,9932.689333,2914.661333,114.5413333,12022.941,36.426,10.27133333,19.319,0.5459,198.6,430.6,448.3,37.09,127.1,1.047,1.539
icr006531,Pandambili,-6.11749,36.4577,1,FALSE,6.299,4825.43161,11487.80933,1464.080667,234.1406667,22779.48167,38.649,22.12666667,24.39566667,0.8279,274,589.8,670.2,123.6,63.92,2.707,0.79
icr006551,Pandambili,-6.08820009,36.46326065,2,FALSE,6.884,5743.52364,14415.06167,3027.952333,258.2343333,19464.06267,36.77966667,16.64633333,31.11733333,0.6839,337.2,731,1595,144.4,97.68,2.341,1.23
icr006571,Pandambili,-6.06997013,36.46458817,1,FALSE,6.644,5446.50733,13012.301,2300.630667,173.1966667,13695.353,23.88133333,10.586,18.521,0.599,232.5,420.5,834.7,112.1,64.68,1.911,1.373
