phase_id,phase_name_grouped
CORUNDUM,Corundum
BACK_POS,Background
BACK_NEG,Background
QUARTZ,Quartz
ORDERED_MICROCLINE,K-feldspar
INTERMEDIATE_MICROCLINE,K-feldspar
SANIDINE,K-feldspar
ORTHOCLASE,K-feldspar
ANORTHOCLASE,Plagioclase
ALBITE_CLEAVELANDITE,Plagioclase
OLIGOCLASE_NC,Plagioclase
OLIGOCLASE_NORWAY,Plagioclase
ANDESINE,Plagioclase
LABRADORITE,Plagioclase
BYTOWNITE,Plagioclase
ANORTHITE,Plagioclase
CALCITE,Calcite
MG_CALCITE,Calcite
ARAGONITE,Aragonite
DOLOMITE,Dolomite
FE_DOLOMITE,Dolomite
ANKERITE,Dolomite
MAGNESITE,Magnesite
SIDERITE,Siderite
HALITE,Halite
HALLOYSITE,Kaolin
DISORDERED_KAOLINITE,Kaolin
ORD_KAOLINITE,Kaolin
KAOLINITE_DRY_BRANCH,Kaolin
DICKITE,Kaolin
NA_MONTMORILLONITE,Expandable/ML Dioct.
CA_MONTMORILLONITE,Expandable/ML Dioct.
SAPONITE,Expandable/ML Trioct.
HECTORITE,Expandable/ML Trioct.
FERRUGINOUS_SMECTITE,Expandable/ML Dioct.
ILLITE_1MD,Illitic/Micaceous Dioct.
ILLITE_1M_R_GT_3_5_PERCENT_EXP,Illitic/Micaceous Dioct.
ILLITE_1M_30_PERCENT_EXP_R_GT_1,Illitic/Micaceous Dioct.
ILLITE_1M_RM30,Illitic/Micaceous Dioct.
ILLITE_2M1_SG4,Illitic/Micaceous Dioct.
GLAUCONITE,Illitic/Micaceous Dioct.
BIOTITE_1M,Mica Trioct.
BIOTITE_2M1_WEB_PASS,Mica Trioct.
PHLOGOPITE_2M1,Mica Trioct.
PYROPHYLLITE,Mica Trioct.
TALC,Talc
CHLORITE_CCA_1,Chlorite
CHLORITE_CCA_2,Chlorite
CHLORITE_CMM,Chlorite
CHLORITE_CO,Chlorite
FE_CHLORITE_TUSC,Chlorite
MG_CHLORITE_LUZENAC,Chlorite
MG_CHLORITE_CLINOCHLORE_WEB_PASS,Chlorite
SEPIOLITE,Sepiolite
SERPENTINE,Serpentine
BERTHIERINE,Serpentine
AMPHIBOLE,Amphibole
PYROXENE_DIOPSIDE,Pyroxene
PYRITE,Pyroxene
MARCASITE,Marcasite
ANHYDRITE,Anhydrite
GYPSUM,Gypsum
BASSANITE,Bassanite
BARITE,Barite
ALUNITE,Alunite
JAROSITE,Jarosite
MAGNETITE,Fe/Ti-(hydr)oxide
HEMATITE,Fe/Ti-(hydr)oxide
GOETHITE,Fe/Ti-(hydr)oxide
MAGHEMITE,Fe/Ti-(hydr)oxide
FLUORAPATITE,Apatite
FOSTERITE,Olivine
TITANITE,Titanite
ANATASE,Fe/Ti-(hydr)oxide
RUTILE,Fe/Ti-(hydr)oxide
GROSSULAR_GARNET,Rutile
ALMANDINE_GARNET,Rutile
FLUORITE,Fluorite
CLINOPTILOLITE_HECTOR,Fluorite
OPAL,Opal
OPAL_GREEK,Opal
Opal_C_TEX_821_254,Opal
OBSIDIAN,Amorphous-I
RAMSDELLITE,Ramsdellite
EPIDOTE,Epidote
SILLIMANITE,Sillimanite
ANDALUCITE,Andalusite
GIBBSITE,Gibbsite
PEAT,Amorphous-O
WHITE_R_TEPHRA,Amorphous-I
VOLCANIC_GLASS_FROM_WHITE_R_TEPHRA,Amorphous-I
ILMENITE,Fe/Ti-(hydr)oxide
MUSCOVITE_2M1,Illitic/Micaceous Dioct.
ILLITE_EP_10_66,Illitic/Micaceous Dioct.
MONTMORILLONITE_WYO,Expandable/ML Dioct.
BRUCITE,Brucite
OPAL_282,Opal
OPAL_264,Opal
OPAL_253,Opal
CHARCOAL,Amorphous-O
HEKLA_TEPHRA,Amorphous-I
VOLCANIC_GLASS_HEKLA,Amorphous-I
DIATOMS,Amorphous-O
CHERT_8_4_NMA2,Quartz
CHERT_13_1_A5,Quartz
CHERT_15_1_NM_A10,Quartz
CRISTOBALITE,Cristobalite
CINNABAR,Cinnabar
TOURMALINE,Tourmaline
SYLVITE,Sylvite
ILLITE_R0_5_PERCENT_I,Illitic/Micaceous Dioct.
SPINEL,Spinel
STRONTIANITE,Strontianite
CELESTINE,Celestine
ANALCIME,Analcime
GALENA,Galena
MARGARITE,Margarite
GRAPHITE,Graphite
IRON,Iron
KEROGEN_TYPE_II,Amorphous-O
KEROGEN_TYPE_IIS,Amorphous-O
ILLITE_R0_35_PERCENT_I,Illitic/Micaceous Dioct.
MORDENITE,Mordenite
SAKS_TEPHRA,Amorphous-I
SAKS_GLASS,Amorphous-I
JAROSITE_MEX,Jarosite
SPHALERITE,Sphalerite
PALYGORSKITE,Palygorskite
ZIRCON,Zircon
SULFUR,Sulphur
TRIDYMITE_POOR,Tridymite
RECTORITE_LOG_CREEK,Rectorite
RECTORITE_ROGUE_MINE,Rectorite
VERMICULITE,Vermiculite
PSILOMELANE,Psilomelane
ZINCITE,Zincite
SMECTITE_AND_AMORPH_BETTASO,Expandable/ML Dioct.
FULVIC_ACID,Amorphous-O
HUMIC_ACID,Amorphous-O
NATROLITE,Natrolite
SILVER,Silver
AUGITE,Pyroxene
TOBELITE,Illitic/Micaceous Dioct.
BOEHMITE_CALC,Boehmite
FERRIHYDRITE,Amorphous-I
BUDDINGTONITE,Feldspar
ILLITE_NO37_1M_0_PERCENT_EXP,Illitic/Micaceous Dioct.
HEMATITE_FINE,Fe/Ti-(hydr)oxide
DIASPORE,Diaspore
ENSTATITE,Pyroxene
TREMOLITE,Amphibole
FERRIHYDRITE_HUMBUG_CREEK,Amorphous-I
LEPIDOCROCITE,Lepidocrocite
CORDIERITE,Cordierite
ARSENOPYRITE,Arsenopyrite
HYPERSTHENE,Pyroxene
HORNBLENDE,Amphibole
HEDENBERGITE,Pyroxene
CHALCOPYRITE,Chalcopyrite
PYRRHOTITE,Pyrrhotite
ACTINOLITE_TREMOLITE,Amphibole
THENARDITE,Thenardite
CHABAZITE,Chabazite
NATRITE,Natrite
NAHCOLITE,Nahcolite
PREHNITE,Prehnite
ANGLESITE,Anglesite
ORGANIC_MATTER,Amorphous-O
